Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jun,1966
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jun,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,1966
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jun,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,May,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,May,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,May,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,May,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,May,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,May,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,May,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Apr,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Apr,1966
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Apr,1966
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Apr,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1966
