Organisation,Launch Pad,Launch Facility,Launch State,Launch Country,Month,Year
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2006
Northrop,SLC-8,Vandenberg AFB,California,USA,Apr,2006
Northrop,Stargazer,Vandenberg AFB,California,USA,Mar,2006
SpaceX,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Mar,2006
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2006
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Oct,2005
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,2005
Northrop,SLC-8,Vandenberg AFB,California,USA,Sep,2005
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2005
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,2005
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,2005
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2005
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,2005
Northrop,SLC-8,Vandenberg AFB,California,USA,Apr,2005
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2005
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,2005
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,2005
Boeing,SLC-37B,Cape Canaveral AFS,Florida,USA,Dec,2004
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2004
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,2004
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,2004
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,2004
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,2004
Boeing,SLC-2W,Vandenberg AFB,California,USA,Jul,2004
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,2004
Northrop,SLC-576E,Vandenberg AFB,California,USA,May,2004
Boeing,SLC-2W,Vandenberg AFB,California,USA,Apr,2004
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,2004
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,2004
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,2004
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,2004
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2004
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,2004
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,2003
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,2003
Lockheed,SLC-3E,Vandenberg AFB,California,USA,Dec,2003
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Oct,2003
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2003
Boeing,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2003
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,2003
Northrop,Stargazer,Vandenberg AFB,California,USA,Aug,2003
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,2003
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,2003
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,2003
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,2003
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,May,2003
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Apr,2003
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,2003
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2003
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,2003
Boeing,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2003
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,2003
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Jan,2003
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,2003
Boeing,SLC-2W,Vandenberg AFB,California,USA,Jan,2003
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Jan,2003
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,2002
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,2002
Boeing,SLC-37B,Cape Canaveral AFS,Florida,USA,Nov,2002
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,2002
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,2002
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2002
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,2002
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Jun,2002
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,2002
